widget_name,widget_help_link,widget_img_url,widget_action_url,widget_icon_url,widget_order,widget_id,parent_widget_id,widget_home_menu,visible,widget_descr
"Home","/knowledgecenter/help/content/welcome_to_knowledge_center.htm","resources/img/icons/pyramid-icon-white.png","","tIcon-home",1,1000,,false,true,
"Teleprospecting",,,,,,503,103,false,false,
"Basic Analytical List",,,,,,504,103,false,false,
"Advanced Analytical List",,,,,,505,103,false,false,
"Complete Analytical List",,,,,,506,103,false,false,
"Share Report","","resources/img/icons/crosstab-report-icon-white.png","","tIcon-crost-reports",310,1019,105,false,true,
"Household Product Usage Report","","resources/img/icons/crosstab-report-icon-white.png","","tIcon-crost-reports",311,1020,105,false,true,
"Balance Per Household Report","","resources/img/icons/crosstab-report-icon-white.png","","tIcon-crost-reports",312,1021,105,false,true,
"Active Adult Demand Analysis",,"resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=750","tIcon-pop-reports",409,750,1011,false,true,
"Prospecting: Complete",,,,,,501,103,false,false,
"Reports","/knowledgecenter/help/content/claritas%20360/reports/report_home.htm","resources/img/icons/reports-icon.png","","tIcon-reports",5,100,,true,true,
"Location Detail","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/location_reports/location_detail_rpt_home.htm","resources/img/icons/locator-report-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=601","tIcon-loc-reports",412,601,1013,false,true,
"Consumer Demand Reports","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/consumer_demand_reports/cons_demand_reports_home.htm","resources/img/icons/consumer-demand-icon-white.png","","tIcon-con-demand",302,1012,101,false,true,
"Consumer Targeting","/knowledgecenter/help/content/claritas%20360/consumer_targeting/consumer_targeting_home.htm","resources/img/icons/consumer-targeting-icon.png","","tIcon-cons-target",7,1006,,true,true,
"Prospecting: Basic",,,,,,502,103,false,false,
"Digital Audience Builder","/knowledgecenter/help/content/claritas%20360/consumer_targeting/digital_audience_builder/dig_audience_bldr_home.htm","resources/img/icons/target-builder-icon-white.png","","tIcon-digi-aud",207,10063,1006,false,false,
"My 360","/knowledgecenter/help/content/claritas%20360/my_360_home.htm","resources/img/icons/favorites-icon.png","resources/data/My360/index.html","tIcon-my-SMS",10,1001,,true,true,
"Penetration Report","","resources/img/icons/crosstab-report-icon-white.png","","tIcon-crost-reports",309,1018,105,false,true,
"Interactive Map","","resources/img/icons/analysis-area-icon.png","resources/data/AnalysisArea/index.html#analysisarea/interactiveMap","tIcon-analysis-area",7,10047,1004,false,true,
"My Content","","resources/img/icons/analysis-area-icon.png","resources/data/AnalysisArea/index.html#analysisarea/myContent","tIcon-analysis-area",8,10048,1004,false,true,
"Custom Reports","/knowledgecenter/help/content/claritas%20360/reports/custom_reports/custom_rpts_home.htm","resources/img/icons/custom-report-icon-white.png","","tIcon-cust-reports",203,102,100,false,true,
"Administration Tools","","resources/img/icons/admin-tools-icon-white.png","","tIcon-admin-tools",3,1200,,true,true,
"Profile Builder","/knowledgecenter/help/content/claritas%20360/consumer_targeting/profile_builder/profile_builder_home.htm","resources/img/icons/profile-builder-icon.png","resources/data/ProfileBuilder/index.html?widget_id=10061","tIcon-prof-builder",205,10061,1006,false,true,
"Target Builder","/knowledgecenter/help/content/claritas%20360/consumer_targeting/target_builder/target_builder_home.htm","resources/img/icons/target-builder-icon-white.png","resources/data/TargetGroupCreator/index.html?widget_id=10062","tIcon-targ-builder",206,10062,1006,false,true,
"Interactive Map","/knowledgecenter/help/content/claritas%20360/interactive_map/interactive_map_home.htm","resources/img/icons/interactive-map-icon.png","resources/data/InteractiveMap/index.html?widget_id=1007","tIcon-iMap",5,1007,,true,true,
"Location Builder","/knowledgecenter/help/content/claritas%20360/location_builder/location_builder_home.htm","resources/img/icons/location-builder-icon.png","resources/data/LocManager/index.html?widget_id=1005","tIcon-loc-builder",208,1005,1100,false,true,
"File Enhancement Billing Summary",,,,,,-1003,,,false,false,
"Run Report Using Existing Template","","resources/img/icons/custom-report-icon-white.png","resources/data/ReportPrompts/index.html?custom_reports=true","tIcon-reports",0,10008,102,false,true,
"Geocoder Webservice",,,,,,2001,,,false,false,
"CultureCode Reports",,"resources/img/icons/reports-icon.png",,,304,1023,101,false,true,
"Multiple Point-Crosstab",,"resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=752","tIcon-pop-reports",420,752,1013,false,true,
"Import Cable Zip Factor",,"resources/img/icons/location-builder-icon.png","resources/data/LocManager/index.html?cblzipfactorimport=1","tIcon-pop-reports",209,1008,1100,false,true,
"Ampersand Custom Reports",,"resources/img/icons/reports-icon.png",,,10,790,102,false,true,
"Reporting","","resources/img/icons/admin-tools-icon-white.png","resources/data/Reporting/index.html?widget_id=12002","tIcon-admin-tools",0,12002,1200,false,true,
"Entitlement Tool","","resources/img/icons/admin-tools-icon-white.png","resources/data/Entitlement/index.html?widget_id=1100","tIcon-admin-tools",0,12001,1200,false,true,
"FileEnhancment Webservice",,,,,,9001,,,false,false,
"Report Webservice",,,,,,9002,,,false,false,
"My Content","","resources/img/icons/my-content-icon.png","resources/data/MyContent/index.html","tIcon-my-cont",1,10004,102,false,true,
"My Content","/knowledgecenter/help/content/claritas%20360/my_content/my_content_home.htm","resources/img/icons/my-content-icon.png","resources/data/MyContent/index.html","tIcon-my-cont",2,1002,,true,true,
"Custom Data","/knowledgecenter/help/content/claritas%20360/custom_data/custom_data_home.htm","resources/img/icons/custom-data-icon-white.png","","tIcon-custom-data",9,1100,,true,true,
"Crosstab Builder","/knowledgecenter/help/content/claritas%20360/reports/crosstab_reports/crosstab_reports_home.htm","resources/img/icons/crosstab-report-icon-white.png","","tIcon-crost-reports",313,1022,105,false,true,
"Consumer Spending Dynamix Basic","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/consumer_demand_reports/csdx_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=253","tIcon-pop-reports",405,253,1012,false,true,
"New Market","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/location_reports/new_market_rpt_home.htm","resources/img/icons/locator-report-icon.png","","tIcon-loc-reports",414,603,1013,false,true,
"Batch Reports","/knowledgecenter/help/content/reports/batch_reports/batch_reports_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=1000","tIcon-reports",305,1500,100,false,true,
"Lists","","resources/image/claritas/reports-icon.png","","tIcon-reports",0,10065,,,false,false,
"Micro Demand",,"resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=751","tIcon-pop-reports",410,751,1011,false,true,
"Report Templates","","resources/img/icons/reports-icon.png","","tIcon-reports",0,10064,,,false,false,
"Create New Template","","resources/img/icons/custom-report-icon-white.png","resources/data/CustomReport/index.html","tIcon-reports",0,10003,102,false,true,
"Business-Facts® Summary","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/location_reports/bizfacts_summary_rpt_home.htm","resources/img/icons/locator-report-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=602","tIcon-loc-reports",413,602,1013,false,true,
"Business List","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/business_prospect_list/business_list_home.htm","resources/img/icons/reports-icon.png","resources/data/ProspectList/index.html?rpt_def_id=103","tIcon-prosp-list",304,103,100,false,true,
"Profile Worksheet","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/profile_reports/profile_worksheet_rpt_home.htm","resources/img/icons/segmentation-report-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=402","tIcon-seg-reports",419,402,1015,false,true,
"CultureCode Asianicity","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/culturecode_reports/asianicity_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=775","tIcon-pop-reports",101,775,1023,false,true,
"Target Concentration","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/locator_reports/target_concentration_rpt_home.htm","resources/img/icons/segmentation-report-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=903","tIcon-seg-reports",428,903,1017,false,true,
"CultureCode Hispanicity","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/culturecode_reports/hispanicity_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=776","tIcon-pop-reports",102,776,1023,false,true,
"Profile Segment Consumption","/knowledgecenter/help/content/claritas%20360/reports/segmentation_reports/profile_reports/profile_segment_consumption_rpt_home.htm","resources/img/icons/segmentation-report-icon-white.png","resources/data/ReportPrompts/index.html?rpt_def_id=403","tIcon-seg-reports",420,403,1015,false,true,
"Pop-Facts Demographic Trend","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/demographic_reports/pf_demo_trend_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=704","tIcon-pop-reports",402,704,1011,false,true,
"Pop-Facts Demographics by Age Race Sex","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/demographic_reports/pf_demo_ageracesex_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=705","tIcon-pop-reports",403,705,1011,false,true,
"Pop-Facts Household Income by Age of Householder","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/demographic_reports/pf_hh_inc_rpt_home.htm","resources/img/icons/reports-icon.png","resources/data/ReportPrompts/index.html?rpt_def_id=706","tIcon-pop-reports",404,706,1011,false,true,
"Location Reports","/knowledgecenter/help/content/claritas%20360/reports/standard_reports/location_reports/location_reports_home.htm","resources/img/icons/locator-report-icon.png","","tIcon-loc-reports",303,1013,101,false,true,
